alba_name,sub_code,job1,job_code1,job2,job_code2,job3,job_code3,job4,job_code4,job5,job_code5,job6,job_code6,job7,job_code7,job8,job_code8,job8,job_code8,job9,job_code9,job9,job_code9,job10,job_code10,job10,job_code10,job11,job_code11,job11,job_code11,job12,job_code12,job12,job_code12,job13,job_code13,job14,job_code14,job15,job_code15
일반음식점, 1010,조리사 및 주방장,173,주방보조원,1128,계산원 및 매표원,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
레스토랑, 1020,소믈리에,167,조리사 및 주방장,173,푸드스타일리스트,177,접객원,1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
패밀리레스토랑, 1030,소믈리에,167,푸드스타일리스트,177,접객원,1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
패스트푸드점, 1040,주방보조원,1128,접객원,1127,계산원 및 매표원,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
치킨ㆍ피자전문점, 1050,주방보조원,1128,접객원,1127,계산원 및 매표원,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
커피전문점, 1060,바리스타,180,접객원,1127,계산원 및 매표원,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이스크림ㆍ디저트, 1070,접객원,1127,바리스타,180,계산원 및 매표원,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
베이커리ㆍ도넛ㆍ떡, 1080,제과사,172,계산원 및 매표원,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호프ㆍ일반주점, 1090,접객원,1127,바텐더,370,영양사,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바(bar), 1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
급식ㆍ푸드시스템, 1110,주방보조원,1128,조리사 및 주방장,173,영양사,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도시락ㆍ반찬, 1120,주방보조원,1128,조리사 및 주방장,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백화점ㆍ면세점, 2010,영업원,928,마케팅전문가,1068,계산원 및 매표원,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
