,0,1,2,3,4,5,6,7,8,9,10,11
0,쇼핑몰ㆍ소셜커머스ㆍ홈쇼핑,영화ㆍ공연,마케팅ㆍ광고ㆍ홍보,,,,,,,,,
1,호프ㆍ일반주점,급식ㆍ푸드시스템,호텔ㆍ리조트ㆍ숙박,렌탈관리ㆍA/S,베이비시터ㆍ가사도우미,기계ㆍ전자ㆍ전기,제품ㆍ산업디자인,,,,,
2,경리ㆍ회계보조,금융ㆍ보험영업,실험ㆍ연구보조,,,,,,,,,
3,,,,,,,,,,,,
4,노래방,볼링ㆍ당구장,스크린?골프ㆍ야구,오락실ㆍ게임장,이색테마카페,골프캐디,보안ㆍ경비ㆍ경호,,,,,
5,DVDㆍ멀티방ㆍ만화카페,정비ㆍ수리ㆍ설치ㆍA/S,,,,,,,,,,
6,주차관리ㆍ주차도우미,유아ㆍ유치원,동영상촬영ㆍ편집,신문ㆍ잡지ㆍ출판,,,,,,,,
7,피부관리ㆍ마사지,사무보조,복사ㆍ출력ㆍ제본,방송스텝ㆍ촬영보조,간호조무사ㆍ간호사,외래보조ㆍ병동보조,,,,,,
8,결혼ㆍ연회ㆍ장례도우미,포장ㆍ품질검사,입시ㆍ보습학원,외국어ㆍ어학원,예체능?강사,자격증ㆍ기술학원,국비교육기관,수의테크니션ㆍ동물보건사,,,,
9,약국,MD,헤어ㆍ미용ㆍ네일샵,바이럴ㆍSNS마케팅,레져스포츠?강사,패션ㆍ잡화디자인,,,,,,
10,공인중개,고객상담ㆍ인바운드,시스템ㆍ네트워크ㆍ보안,PCㆍ디지털기기?설치ㆍ관리,컴퓨터ㆍ정보통신,,,,,,,
11,,,,,,,,,,,,
12,캐셔ㆍ카운터,청소ㆍ미화,이벤트ㆍ행사스텝,설문조사ㆍ리서치,웹ㆍ모바일기획,사이트ㆍ콘텐츠?운영,사진촬영ㆍ편집,,,,,
13,문서작성ㆍ자료조사,생산ㆍ건설ㆍ노무?기타,간병ㆍ요양보호사,,,,,,,,,
14,농수산ㆍ청과ㆍ축산,키즈카페,QAㆍ테스터ㆍ검증,,,,,,,,,
15,서비스?기타,공사ㆍ건설현장,PVC(닥트ㆍ배관설치),,,,,,,,,
16,유통점ㆍ마트,편의점,유통ㆍ판매?기타,입출고ㆍ창고관리,상하차ㆍ소화물?분류,웹ㆍ모바일디자인,화물ㆍ중장비ㆍ특수차,,,,,
17,스터디룸ㆍ독서실ㆍ고시원,판촉도우미,인사ㆍ총무,영업관리ㆍ지원,,,,,,,,
18,복합쇼핑몰ㆍ아울렛,의류ㆍ잡화매장,매장관리ㆍ판매,전단지배포,번역ㆍ통역,일반영업ㆍ판매,조선소,방문ㆍ학습지,,,,
19,놀이공원ㆍ테마파크,찜질방ㆍ사우나ㆍ스파,서빙,안내데스크,교육ㆍ강사?기타,,,,,,,
20,레스토랑,패밀리레스토랑,바리스타,공공기관ㆍ공기업ㆍ협회,조명ㆍ음향,방송사ㆍ프로덕션,원무ㆍ코디네이터,,,,,
21,베이커리ㆍ도넛ㆍ떡,휴대폰ㆍ전자기기매장,택배ㆍ퀵서비스,배달,,,,,,,,
22,주유ㆍ세차,피팅모델,프로그래머,HTML코딩,디자인 기타,,,,,,,
23,반려동물케어,학교ㆍ도서관ㆍ교육기관,,,,,,,,,,
24,전시ㆍ컨벤션ㆍ세미나,PC방,문화ㆍ여가ㆍ생활?기타,편집ㆍ교정ㆍ교열,텔레마케팅ㆍ아웃바운드,제조ㆍ가공ㆍ조립,미디어 전체,미디어 기타,,,,
25,가구ㆍ침구ㆍ생활소품,화훼ㆍ꽃집,재단ㆍ재봉,그래픽ㆍ편집디자인,CADㆍCAMㆍ인테리어디자인,캐릭터ㆍ애니메이션디자인,보조출연ㆍ방청,운송ㆍ이사,대리운전ㆍ일반운전,택시ㆍ버스운전,수행기사,
26,일반음식점,패스트푸드점,치킨ㆍ피자전문점,커피전문점,아이스크림ㆍ디저트,도시락ㆍ반찬,백화점ㆍ면세점,서점ㆍ문구ㆍ팬시,고속도로휴게소,주방장ㆍ조리사,주방보조ㆍ설거지,병원ㆍ간호ㆍ연구?전체
27,뷰티ㆍ헬스스토어,여행ㆍ캠프ㆍ레포츠,피트니스ㆍ스포츠,비서,요가ㆍ필라테스?강사,피트니스?트레이너,,,,,,
28,나레이터모델,보조교사,생동성ㆍ임상시험,,,,,,,,,
